PLAYER,TYPE,PRICE PAID,TEAM,Year,,,,
Irfan Pathan,All-Rounder,"₹1,00,00,000",Rising Pune Supergiant,2016,,,,
Thisara Perera,All-Rounder,"₹1,00,00,000",Rising Pune Supergiant,2016,,,,
Rajat Bhatia,All-Rounder,"₹60,00,000",Rising Pune Supergiant,2016,,,,
Ashok Dinda,Bowler,"₹50,00,000",Rising Pune Supergiant,2016,,,,
Scott Boland,Bowler,"₹50,00,000",Rising Pune Supergiant,2016,,,,
Peter Handscomb,Wicket Keeper,"₹30,00,000",Rising Pune Supergiant,2016,,,,
Rudra Pratap Singh,Bowler,"₹30,00,000",Rising Pune Supergiant,2016,,,,
Adam Zampa,Bowler,"₹30,00,000",Rising Pune Supergiant,2016,,,,
Ishwar Chandra Pandey,Bowler,"₹20,00,000",Rising Pune Supergiant,2016,,,,
Deepak Chahar,All-Rounder,"₹10,00,000",Rising Pune Supergiant,2016,,,,
Jaskaran Singh,Bowler,"₹10,00,000",Rising Pune Supergiant,2016,,,,
Baba Aparajith,All-Rounder,"₹10,00,000",Rising Pune Supergiant,2016,,,,
Ankush Bains,Wicket Keeper,"₹10,00,000",Rising Pune Supergiant,2016,,,,
Ankit Sharma,All-Rounder,"₹10,00,000",Rising Pune Supergiant,2016,,,,
Shane Watson,All-Rounder,"₹9,50,00,000",Royal Challengers Bangalore,2016,,,,
Stuart Binny,All-Rounder,"₹2,00,00,000",Royal Challengers Bangalore,2016,,,,
Kane Richardson,Bowler,"₹2,00,00,000",Royal Challengers Bangalore,2016,,,,
Samuel Badree,Bowler,"₹50,00,000",Royal Challengers Bangalore,2016,,,,
Travis Head,Batsman,"₹50,00,000",Royal Challengers Bangalore,2016,,,,
Praveen Dubey,All-Rounder,"₹35,00,000",Royal Challengers Bangalore,2016,,,,
Vikramjeet Malik,Bowler,"₹20,00,000",Royal Challengers Bangalore,2016,,,,
Akshay Karnewar,All-Rounder,"₹10,00,000",Royal Challengers Bangalore,2016,,,,
Iqbal Abdullah,All-Rounder,"₹10,00,000",Royal Challengers Bangalore,2016,,,,
Sachin Baby,Batsman,"₹10,00,000",Royal Challengers Bangalore,2016,,,,
Vikas Tokas,Bowler,"₹10,00,000",Royal Challengers Bangalore,2016,,,,
Yuvraj Singh,All-Rounder,"₹7,00,00,000",Sunrisers Hyderabad,2016,,,,
Ashish Nehra,Bowler,"₹5,50,00,000",Sunrisers Hyderabad,2016,,,,
Deepak Hooda,All-Rounder,"₹4,20,00,000",Sunrisers Hyderabad,2016,,,,
Mustafizur Rahman,Bowler,"₹1,40,00,000",Sunrisers Hyderabad,2016,,,,
Aditya Tare,Wicket Keeper,"₹1,20,00,000",Sunrisers Hyderabad,2016,,,,
Barinder Singh Sran,Bowler,"₹1,20,00,000",Sunrisers Hyderabad,2016,,,,
Ben Cutting,All-Rounder,"₹50,00,000",Sunrisers Hyderabad,2016,,,,
Vijay Shankar,All-Rounder,"₹35,00,000",Sunrisers Hyderabad,2016,,,,
Abhimanyu Mithun,Bowler,"₹30,00,000",Sunrisers Hyderabad,2016,,,,
Tirumalasetti Suman,Batsman,"₹10,00,000",Sunrisers Hyderabad,2016,,,,
Kagiso Rabada,Bowler,"₹5,00,00,000",Delhi Daredevils,2017,,,,
Patrick Cummins,Bowler,"₹4,50,00,000",Delhi Daredevils,2017,,,,
Angelo Mathews,All-Rounder,"₹2,00,00,000",Delhi Daredevils,2017,,,,
Corey Anderson,All-Rounder,"₹1,00,00,000",Delhi Daredevils,2017,,,,
M. Ashwin,Bowler,"₹1,00,00,000",Delhi Daredevils,2017,,,,
Aditya Tare,Wicket Keeper,"₹25,00,000",Delhi Daredevils,2017,,,,
Ankeet Bawane,Batsman,"₹10,00,000",Delhi Daredevils,2017,,,,
Navdeep Saini,Bowler,"₹10,00,000",Delhi Daredevils,2017,,,,
Shashank Singh,All-Rounder,"₹10,00,000",Delhi Daredevils,2017,,,,
Jason Roy,Batsman,"₹1,00,00,000",Gujarat Lions,2017,,,,
Basil Thampi,Bowler,"₹85,00,000",Gujarat Lions,2017,,,,
Manpreet Gony,Bowler,"₹60,00,000",Gujarat Lions,2017,,,,
Nathu Singh,Bowler,"₹50,00,000",Gujarat Lions,2017,,,,
Munaf Patel,Bowler,"₹30,00,000",Gujarat Lions,2017,,,,
Akshdeep Nath,All-Rounder,"₹10,00,000",Gujarat Lions,2017,,,,
Shubam Agrawal,All-Rounder,"₹10,00,000",Gujarat Lions,2017,,,,
Tejas Singh Baroka,Bowler,"₹10,00,000",Gujarat Lions,2017,,,,
Chirag Suri,Batsman,"₹10,00,000",Gujarat Lions,2017,,,,
Pratham Singh,All-Rounder,"₹10,00,000",Gujarat Lions,2017,,,,
Shelley Shaurya,Bowler,"₹10,00,000",Gujarat Lions,2017,,,,
T Natarajan,Bowler,"₹3,00,00,000",Kings XI Punjab,2017,,,,
Varun Aaron,Bowler,"₹2,80,00,000",Kings XI Punjab,2017,,,,
Eoin Morgan,Batsman,"₹2,00,00,000",Kings XI Punjab,2017,,,,
Matt Henry,Bowler,"₹50,00,000",Kings XI Punjab,2017,,,,
Martin Guptill,Batsman,"₹50,00,000",Kings XI Punjab,2017,,,,
Darren Sammy,All-Rounder,"₹30,00,000",Kings XI Punjab,2017,,,,
Rahul Tewatia,All-Rounder,"₹25,00,000",Kings XI Punjab,2017,,,,
Rinku Singh,Batsman,"₹10,00,000",Kings XI Punjab,2017,,,,
Trent Boult,Bowler,"₹5,00,00,000",Kolkata Knight Riders,2017,,,,
Chris Woakes,All-Rounder,"₹4,20,00,000",Kolkata Knight Riders,2017,,,,
Nathan Coulter-Nile,Bowler,"₹3,50,00,000",Kolkata Knight Riders,2017,,,,
Rishi Dhawan,All-Rounder,"₹55,00,000",Kolkata Knight Riders,2017,,,,
Darren Bravo,Batsman,"₹50,00,000",Kolkata Knight Riders,2017,,,,
Rovman Powell,All-Rounder,"₹30,00,000",Kolkata Knight Riders,2017,,,,
Sayan Ghosh,Bowler,"₹10,00,000",Kolkata Knight Riders,2017,,,,
R. Sanjay Yadav,All-Rounder,"₹10,00,000",Kolkata Knight Riders,2017,,,,
Ishank Jaggi,Batsman,"₹10,00,000",Kolkata Knight Riders,2017,,,,
Karn Sharma,All-Rounder,"₹3,20,00,000",Mumbai Indians,2017,,,,
Krishnappa Gowtham,All-Rounder,"₹2,00,00,000",Mumbai Indians,2017,,,,
Mitchell Johnson,Bowler,"₹2,00,00,000",Mumbai Indians,2017,,,,
Asela Gunarathna,Batsman,"₹30,00,000",Mumbai Indians,2017,,,,
Saurabh Tiwary,Batsman,"₹30,00,000",Mumbai Indians,2017,,,,
Nicolas Pooran,Wicket Keeper,"₹30,00,000",Mumbai Indians,2017,,,,
Kulwant Khejroliya,Bowler,"₹10,00,000",Mumbai Indians,2017,,,,
Benjamin Stokes,All-Rounder,"₹14,50,00,000",Rising Pune Supergiant,2017,,,,
Daniel Christian,All-Rounder,"₹1,00,00,000",Rising Pune Supergiant,2017,,,,
Manoj Tiwary,Batsman,"₹50,00,000",Rising Pune Supergiant,2017,,,,
Lockie Ferguson,Bowler,"₹50,00,000",Rising Pune Supergiant,2017,,,,
Jaydev Unadkat,Bowler,"₹30,00,000",Rising Pune Supergiant,2017,,,,
Rahul Chahar,Bowler,"₹10,00,000",Rising Pune Supergiant,2017,,,,
Saurabh Kumar,Bowler,"₹10,00,000",Rising Pune Supergiant,2017,,,,
Milind Tandon,All-Rounder,"₹10,00,000",Rising Pune Supergiant,2017,,,,
Rahul Ajay Tripathi,All-Rounder,"₹10,00,000",Rising Pune Supergiant,2017,,,,
Tymal Mills,Bowler,"₹12,00,00,000",Royal Challengers Bangalore,2017,,,,
Aniket Choudhary,Bowler,"₹2,00,00,000",Royal Challengers Bangalore,2017,,,,
Pawan Negi,All-Rounder,"₹1,00,00,000",Royal Challengers Bangalore,2017,,,,
Billy Stanlake,Bowler,"₹30,00,000",Royal Challengers Bangalore,2017,,,,
Praveen Dubey,All-Rounder,"₹10,00,000",Royal Challengers Bangalore,2017,,,,
Rashid Khan Arman,Bowler,"₹4,00,00,000",Sunrisers Hyderabad,2017,,,,
Mohammed Siraj,Bowler,"₹2,60,00,000",Sunrisers Hyderabad,2017,,,,
Eklavya Dwivedi,Wicket Keeper,"₹75,00,000",Sunrisers Hyderabad,2017,,,,
Chris Jordan,All-Rounder,"₹50,00,000",Sunrisers Hyderabad,2017,,,,
Mohammad Nabi,All-Rounder,"₹30,00,000",Sunrisers Hyderabad,2017,,,,
Ben Laughlin,Bowler,"₹30,00,000",Sunrisers Hyderabad,2017,,,,
Pravin Tambe,Bowler,"₹10,00,000",Sunrisers Hyderabad,2017,,,,
Tanmay Agarwal,Batsman,"₹10,00,000",Sunrisers Hyderabad,2017,,,,
